Team,1,2,3,4,5,6,7,8,9,R,H,E,R-9,W-L,Score_1,Score_2,Score_3,Score_4,Score_5,Score_6,Score_7,Score_8,Score_9,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,Game_ID,10,11,12,13,14,15,16,17,18,19
ATL,0,0,4,0,0,0,0,0,0,4,5,0,4,L,0,0,4,4,4,4,4,4,4,0,0,4,1,1,1,0,-1,-3,360408115,,,,,,,,,,
HOU,0,0,0,0,0,0,0,0,4,4,9,0,4,L,0,0,0,0,0,0,0,0,4,-3,-4,-4,-4,-4,-4,-4,-6,-2,360408108,,,,,,,,,,
MIL,3,1,0,0,0,0,0,2,-,6,7,0,6,W,3,4,4,4,4,4,4,6,6,3,4,4,4,4,4,4,6,2,360408108,,,,,,,,,,
MIN,0,1,0,0,0,1,0,1,0,3,6,1,3,L,0,1,1,1,1,2,2,3,3,0,-1,-1,-1,-1,0,0,-1,-1,360408107,,,,,,,,,,
KC,0,2,0,0,0,0,0,2,-,4,9,0,4,W,0,2,2,2,2,2,2,4,4,0,1,1,1,1,0,0,1,1,360408107,,,,,,,,,,
CHC,0,0,2,0,0,0,0,0,0,2,5,1,2,L,0,0,2,2,2,2,2,2,2,0,0,2,2,2,1,1,0,-1,360408129,,,,,,,,,,
ARI,0,0,0,0,0,1,0,1,1,3,8,0,3,W,0,0,0,0,0,1,1,2,3,0,0,-2,-2,-2,-1,-1,0,1,360408129,,,,,,,,,,
TEX,3,0,2,1,0,0,1,0,0,7,10,0,7,W,3,3,5,6,6,6,7,7,7,3,2,3,3,3,3,4,4,4,360408103,,,,,,,,,,
LAA,0,1,1,1,0,0,0,0,0,3,7,1,3,L,0,1,2,3,3,3,3,3,3,-3,-2,-3,-3,-3,-3,-4,-4,-4,360408103,,,,,,,,,,
OAK,0,0,0,1,1,0,0,0,1,3,9,2,3,W,0,0,0,1,2,2,2,2,3,0,0,0,1,0,0,0,0,1,360408112,,,,,,,,,,
SEA,0,0,0,0,2,0,0,0,0,2,4,2,2,L,0,0,0,0,2,2,2,2,2,0,0,0,-1,0,0,0,0,-1,360408112,,,,,,,,,,
LAD,0,0,0,0,2,0,0,0,0,2,9,0,2,E,0,0,0,0,2,2,2,2,2,0,0,0,0,2,2,2,0,0,360408126,0,,,,,,,,,
SF,0,0,0,0,0,0,0,2,0,3,2,0,2,E,0,0,0,0,0,0,0,2,2,0,0,0,0,-2,-2,-2,0,0,360408126,1,,,,,,,,,
BOS,0,0,3,1,3,1,0,0,0,8,11,1,8,W,0,0,3,4,7,8,8,8,8,-2,-2,-1,0,3,4,4,4,4,360409114,,,,,,,,,,
TOR,2,0,2,0,0,0,0,0,0,4,7,1,4,L,2,2,4,4,4,4,4,4,4,2,2,1,0,-3,-4,-4,-4,-4,360409114,,,,,,,,,,
NYY,1,1,0,4,2,0,0,0,0,8,13,1,8,W,1,2,2,6,8,8,8,8,8,1,2,2,4,6,6,4,4,4,360409106,,,,,,,,,,
DET,0,0,0,2,0,0,2,0,0,4,7,1,4,L,0,0,0,2,2,2,4,4,4,-1,-2,-2,-4,-6,-6,-4,-4,-4,360409106,,,,,,,,,,
PIT,0,0,0,0,0,1,0,0,0,1,10,1,1,L,0,0,0,0,0,1,1,1,1,-2,-2,-2,-2,-3,-2,-4,-4,-4,360409117,,,,,,,,,,
CIN,2,0,0,0,1,0,2,0,-,5,8,1,5,W,2,2,2,2,3,3,5,5,5,2,2,2,2,3,2,4,4,4,360409117,,,,,,,,,,
CLE,0,0,0,0,0,2,1,0,0,3,7,3,3,L,0,0,0,0,0,2,3,3,3,0,0,-1,-2,-2,0,-4,-4,-4,360409104,,,,,,,,,,
CHW,0,0,1,1,0,0,5,0,-,7,10,1,7,W,0,0,1,2,2,2,7,7,7,0,0,1,2,2,0,4,4,4,360409104,,,,,,,,,,
LAD,0,0,1,0,0,0,0,0,1,3,10,0,2,E,0,0,1,1,1,1,1,1,2,0,-1,0,0,-1,-1,-1,-1,0,360409126,1,,,,,,,,,
SF,0,1,0,0,1,0,0,0,0,2,5,1,2,E,0,1,1,1,2,2,2,2,2,0,1,0,0,1,1,1,1,0,360409126,0,,,,,,,,,
HOU,2,0,1,0,3,0,0,0,0,6,9,0,6,W,2,2,3,3,6,6,6,6,6,2,2,2,2,3,2,2,2,2,360409108,,,,,,,,,,
MIL,0,0,1,0,2,1,0,0,0,4,8,2,4,L,0,0,1,1,3,4,4,4,4,-2,-2,-2,-2,-3,-2,-2,-2,-2,360409108,,,,,,,,,,
STL,0,2,1,2,2,0,1,2,2,12,14,3,12,W,0,2,3,5,7,7,8,10,12,0,2,1,3,5,5,6,8,10,360409115,,,,,,,,,,
ATL,0,0,2,0,0,0,0,0,0,2,4,3,2,L,0,0,2,2,2,2,2,2,2,0,-2,-1,-3,-5,-5,-6,-8,-10,360409115,,,,,,,,,,
PHI,0,0,0,0,1,0,0,0,0,1,8,0,1,W,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,360409121,,,,,,,,,,
NYM,0,0,0,0,0,0,0,0,0,0,3,0,0,L,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,360409121,,,,,,,,,,
MIN,0,0,0,0,0,0,0,0,0,0,7,2,0,L,0,0,0,0,0,0,0,0,0,0,0,0,-2,-4,-7,-7,-7,-7,360409107,,,,,,,,,,
KC,0,0,0,2,2,3,0,0,-,7,10,0,7,W,0,0,0,2,4,7,7,7,7,0,0,0,2,4,7,7,7,7,360409107,,,,,,,,,,
SD,0,0,1,6,0,3,0,0,6,16,19,1,16,W,0,0,1,7,7,10,10,10,16,0,0,1,5,5,8,7,7,13,360409127,,,,,,,,,,
COL,0,0,0,2,0,0,1,0,0,3,8,2,3,L,0,0,0,2,2,2,3,3,3,0,0,-1,-5,-5,-8,-7,-7,-13,360409127,,,,,,,,,,
CHC,3,0,0,1,0,0,0,0,0,4,10,0,4,W,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,360409129,,,,,,,,,,
ARI,0,0,0,1,0,0,1,0,0,2,4,1,2,L,0,0,0,1,1,1,2,2,2,-3,-3,-3,-3,-3,-3,-2,-2,-2,360409129,,,,,,,,,,
TEX,1,0,0,1,0,0,2,0,0,4,10,0,4,W,1,1,1,2,2,2,4,4,4,0,0,0,1,1,1,3,3,3,360409103,,,,,,,,,,
LAA,1,0,0,0,0,0,0,0,0,1,5,2,1,L,1,1,1,1,1,1,1,1,1,0,0,0,-1,-1,-1,-3,-3,-3,360409103,,,,,,,,,,
OAK,2,0,0,0,2,1,0,1,0,6,11,0,6,W,2,2,2,2,4,5,5,6,6,2,1,1,1,3,4,4,5,5,360409112,,,,,,,,,,
SEA,0,1,0,0,0,0,0,0,0,1,5,0,1,L,0,1,1,1,1,1,1,1,1,-2,-1,-1,-1,-3,-4,-4,-5,-5,360409112,,,,,,,,,,
BOS,0,0,0,0,0,0,0,0,0,0,7,1,0,L,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-3,-3,360410114,,,,,,,,,,
TOR,2,0,0,0,0,0,0,1,-,3,7,0,3,W,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,3,3,360410114,,,,,,,,,,
PIT,0,1,0,0,0,0,0,0,0,1,9,0,1,L,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,-1,360410117,,,,,,,,,,
CIN,0,0,0,0,0,1,0,0,1,2,10,0,2,W,0,0,0,0,0,1,1,1,2,0,-1,-1,-1,-1,0,0,0,1,360410117,,,,,,,,,,
PHI,0,0,1,0,0,2,0,1,1,5,9,0,5,W,0,0,1,1,1,3,3,4,5,0,0,1,1,1,1,1,2,3,360410121,,,,,,,,,,
NYM,0,0,0,0,0,2,0,0,0,2,4,0,2,L,0,0,0,0,0,2,2,2,2,0,0,-1,-1,-1,-1,-1,-2,-3,360410121,,,,,,,,,,
TB,0,0,0,1,2,0,0,0,0,3,8,0,3,L,0,0,0,1,3,3,3,3,3,0,-4,-4,-3,-1,-1,-1,-2,-2,360410101,,,,,,,,,,
BAL,0,4,0,0,0,0,0,1,-,5,11,1,5,W,0,4,4,4,4,4,4,5,5,0,4,4,3,1,1,1,2,2,360410101,,,,,,,,,,
STL,0,0,4,0,0,1,0,2,5,12,10,1,12,W,0,0,4,4,4,5,5,7,12,-1,-1,3,0,-1,-1,-1,1,5,360410115,,,,,,,,,,
ATL,1,0,0,3,1,1,0,0,1,7,11,0,7,L,1,1,1,4,5,6,6,6,7,1,1,-3,0,1,1,1,-1,-5,360410115,,,,,,,,,,
